mz	rt	intensity
142.0665932	7.696350098	1234
142.9750664	1.21449995	1030.627319
143.0353188	2.385233402	2171
144.0296462	1.271600008	1727.624756
144.045262	5.040866852	3365
144.0454908	10.20899963	2606.449463
144.0664586	1.271600008	8693
144.0666211	2.442416668	2973
144.0666993	1.528599977	9325
145.0612296	5.240699768	5579
145.0621781	1.243049979	3226.102051
146.0451643	1.328766704	1045
147.0292245	1.128866673	2923
147.0654784	1.828449965	2463
147.0658482	1.343050003	1152
147.0659988	2.428133249	2569.399902
147.0662003	1.914100051	7405.4375
149.0078074	1.114583373	3378
149.0090421	1.057500005	1640
149.0448942	1.20023334	1776
149.0451293	1.257316709	5541
149.045262	1.314499974	1786.553711
149.046611	4.15561676	1070.292236
150.0555309	5.512000084	1623
150.0559131	3.341833353	3832
151.0262458	2.199666739	8343
151.0399624	4.669650078	1884
151.0400188	2.413866758	6222
151.0400209	4.912316799	1209
151.0611169	1.285866618	6346
153.0191628	2.570883274	2898
153.0193318	6.11164999	9595
153.0309188	1.842733383	3714
154.0227296	6.11164999	1032
154.0622856	1.343050003	42355
155.0465022	1.314499974	14734
155.0641249	1.314499974	3734.188721
156.0668664	3.784399986	8348.563477
156.990746	1.228783369	2719.045898
157.0359938	1.300150037	1568
157.0504068	6.654116631	1321
157.1234035	14.84911633	1113.087891
157.1234844	14.23516655	1354
158.0816439	3.998616695	2878.24707
158.0823366	3.827233315	2238
158.0824732	3.227633238	3386
159.0293333	1.328766704	1436.416504
160.061506	1.42869997	3928
160.076772	8.024633408	1505
161.0451289	1.271600008	1230
161.045405	1.485783339	1320.267944
161.045746	2.370949984	1138.597046
161.0820513	2.271033287	5244
161.9871694	2.884983301	21716
162.9893506	2.884983301	1482
163.0608036	1.285866618	4215
164.0352302	4.826666832	1635
164.0581553	3.641666651	6787.430176
164.0719325	4.169883251	12196
165.0397675	1.171683311	1676
165.0416809	3.613116741	3065
165.0422721	3.970066786	28894.01563
165.0750088	4.15561676	7177
165.076855	1.4429667	5670.54248
166.0168801	1.371600032	3374.682617
166.0443036	3.984333277	2304.01123
166.9907601	5.740483284	1104.582275
166.9931116	2.099750042	1159.566772
166.9932265	2.199666739	1150.126099
166.9941074	2.528049946	1233
166.9942965	3.370383263	1273.767334
166.9943757	1.914100051	1123.666992
166.9946032	7.824800014	1309
166.9949233	2.256766558	1032.642456
167.0204927	1.471516609	1275
167.021214	1.371600032	113225.3516
167.0347257	5.169333458	3133
167.0462611	2.642233372	5979
168.0236372	1.385866642	6019
168.0295689	2.756433249	1872
168.0303613	2.6850667	75841.15625
168.0776586	1.599966645	1071
168.0778525	1.914100051	8384
168.0781742	1.528599977	79787
169.0333084	2.699333429	5216
169.0618558	1.542883277	4691
169.0807838	1.514333367	7673
171.0408248	1.357333302	1611
171.1391701	16.37678337	1982.485107
172.0976249	5.155049801	2323
172.0980703	5.383533478	1134.400024
172.9912057	4.569650173	23415
173.0093476	1.028933287	10551
173.0453967	1.742799997	1136
173.0566408	1.271600008	1990
173.1294347	1.271600008	1860
173.9867791	2.942066669	31367
174.0565387	4.92658329	1173
174.9888061	2.956350088	1366.094727
175.0612086	1.328766704	10970
175.0723693	1.271600008	1230
175.0981701	3.841500044	1044.764404
175.9831305	2.956350088	1772
176.9359631	1.128866673	5768.552734
177.0228811	1.95691669	15947
177.0546207	2.942066669	1074
178.0254728	1.95691669	1631
178.0510302	4.683933258	2362
178.0510957	4.612566471	19900.40039
178.0511666	4.426916599	229495.5156
178.0540329	5.754749775	6811.350586
179.0467962	3.741583347	6452
179.0540693	4.598183155	3650
179.0543874	4.426916599	32401.47656
179.0556335	1.314499974	2208.278809
179.0560963	1.185950041	3296
179.0562826	1.257316709	7022
179.0576383	5.983116627	2920
179.0577187	6.311483383	5582.353027
180.0530106	3.68448329	3429
180.0666774	2.299583435	15241.69727
181.0368982	2.085483313	12254
181.0509421	2.456683397	12593
181.0700598	2.313849926	1321
181.0719021	1.257316709	38236
182.0389638	2.099750042	1650
182.0462925	5.126516819	38922.75781
182.0542075	2.470966578	1452
182.0747129	1.257316709	3169
182.0824448	6.497116566	5070
183.0490179	5.126516819	4395
184.0078798	3.68448329	1812
184.0982696	6.882500172	12969
185.057487	1.314499974	1303
185.0819053	1.757083297	1002
185.1014035	6.868233204	1795
187.0072661	7.068133354	238021
187.0073639	7.225133419	3029
187.0213277	1.243049979	1393
187.0729893	1.314499974	4298
187.0976239	2.313849926	10938
187.1087838	1.728533387	2962
188.0018482	4.65538311	1716.042969
188.0025565	3.199083328	1152.661621
188.0030147	3.870049953	14343
188.0101057	7.082416534	29838
188.0355255	5.055150032	4226
188.0573393	1.42869997	1525
188.0930087	14.24943352	1072.85376
188.0930481	4.184166431	3765.596436
188.1006893	2.313849926	1173
188.986296	2.399499893	2005
188.9867183	3.998616695	46539.90234
189.0023981	7.125233173	11539
189.0036423	7.068133354	9248.47168
189.0057153	3.870049953	1225
189.040312	1.343050003	11536
189.9894848	3.998616695	4005
190.043301	1.343050003	1311
190.0509585	2.856433392	1785
190.9655759	2.17111659	2276.381592
190.9825736	3.998616695	2125.490967
191.0021793	3.113349915	1468
191.0200354	1.128866673	80619.69531
191.0558938	1.157400012	3863
192.0228788	1.128866673	7377
192.0234049	1.014666677	2877
192.066055	5.383533478	2279
192.0668949	5.940299988	7534.263184
192.9816158	2.370949984	9018
192.9874468	1.185950041	1513
193.0348621	1.143133283	3048
193.0625928	3.755850077	7088
194.0456521	5.254966736	5744
194.0459445	5.512000084	7531.097656
194.0462014	2.756433249	22075
194.0463506	3.341833353	28939.1875
194.9284617	1.071766615	27442
195.0334475	1.742799997	5849
195.0481768	3.341833353	4155.798828
195.0490189	2.756433249	2583.79248
195.0503748	1.171683311	5011
195.0519756	2.585150003	1675
195.0527973	3.141900063	49425.82422
195.052908	3.456016779	5183.876953
195.0664729	4.169883251	2782.690674
195.0874499	1.685616612	1889
196.0550013	3.141900063	6094
196.0731685	1.514333367	1910
197.0461656	1.542883277	2827.563232
197.067636	1.542883277	4233
197.0677877	2.999166727	2646.155273
197.0682142	1.514333367	2595
197.0682203	3.613116741	5150.091309
197.0682563	1.914100051	4474
197.0691475	3.498833418	1039.657959
197.0819105	2.213933229	6427
198.0406506	2.627966642	2695
198.1138124	10.23754978	1465
199.0071636	8.610016823	2106
199.0978897	8.267366409	6460.726074
199.1710906	18.57541656	5370.821289
200.1295719	10.93715	6886
200.9548551	18.36124992	1339
201.0227741	9.566516876	3375.675781
201.0341458	1.228783369	1047
201.112847	3.927233219	1132
201.1133803	5.554816723	8652.238281
201.1250001	1.657066703	1479
201.1351147	1.571416616	5975
202.108175	6.354300022	2124
202.1166092	5.540533543	1298.498657
202.9866452	1.328766704	1126.335571
202.9869944	1.243049979	1168.032837
203.0016043	5.297783375	14924
203.0024281	6.325766563	26054.52344
203.002431	6.782583237	6025.072266
203.0025069	6.083099842	2222.176025
203.0830485	5.226416588	15619
203.129033	8.852733612	1428
203.9974809	2.542333364	1008
204.0049468	6.340033531	3222
204.0669267	8.024633408	13031
204.0678589	5.226416588	1071.715088
204.0851161	5.226416588	1425
204.9812954	2.699333429	8987
204.9816658	3.927233219	23552
204.9817646	3.370383263	18423.19922
205.0699545	8.024633408	1797
205.0765105	5.240699768	4637
205.1600087	19.96026611	9636.512695
205.9841964	3.927233219	1877
206.0823748	6.482833385	1524.706055
206.1639086	19.96026611	1979
206.9773091	3.941516638	1055
206.9978703	3.755850077	10090.28906
208.0007105	3.741583347	1108
208.0614534	5.711933136	5682
208.0619934	7.639166832	1829
208.9763538	2.185400009	1596.199951
209.003831	1.21449995	1393
209.0454808	2.071199894	1843
209.0568897	2.456683397	2154.602295
209.0656877	15.19178295	1054.769897
209.0682807	4.612566471	5606
210.0882786	2.14258337	1320
211.040168	14.63490009	1049
211.0612042	2.899250031	2918.220459
211.0612827	2.199666739	2469.681152
211.0838025	4.65538311	1207
