mz	rt	intensity
158.11743	1.8	7625
159.02761	16.5	2440
159.14864	3.0	1695
159.14900	1.1	7179
160.09612	3.2	3041
160.09626	4.6	2015
160.09640	6.4	1758
160.09668	1.3	20833
160.10809	2.7	19500
160.10817	2.5	3193
160.13309	2.2	10947
160.13310	1.7	104570
161.02993	1.1	2180
161.09969	1.3	2086
161.11059	2.8	1285
161.13614	1.7	11909
162.05408	6.9	9782
162.05437	7.4	2190
162.07570	1.7	2125
162.07600	2.3	1696
162.11149	1.5	1495
162.11254	1.3	69184
163.04193	1.7	3142
163.05982	2.7	1734
163.05988	2.8	1960
163.11561	1.3	5595
163.12308	2.7	6219
164.07343	3.3	2374
164.92647	1.1	1561
164.99510	2.9	1900
165.05410	2.6	6223
165.05439	6.0	1284
165.07521	1.2	2271
166.04893	6.7	2588
166.04922	3.5	2987
166.07179	4.1	3428
166.07205	2.8	2038
166.07223	3.2	2129
166.07246	2.7	41590
166.08560	1.7	1438
166.08632	4.4	15960
166.12108	6.6	2255
166.12148	6.8	2914
167.03336	23.8	3311
167.05619	3.7	45039
167.05634	4.1	16657
167.07451	2.7	2651
167.08952	4.4	10087
167.09216	1.8	2620
167.10634	10.0	5625
168.00546	3.5	2562
168.05892	3.7	3244
168.05945	4.1	2195
168.06314	3.3	3550
168.06425	1.6	1540
168.06532	2.7	1720
168.09277	4.4	1609
168.10020	4.4	1760
169.03562	2.2	115599
169.04958	4.9	2627
169.09697	4.3	9848
169.13273	1.6	5294
170.03798	2.2	6216
170.04485	4.4	60606
170.06010	10.1	17946
170.09259	1.2	80721
170.09273	3.0	2588
170.98085	1.1	1108
171.04763	4.4	4139
171.06482	6.2	1388
171.07565	1.4	7098
171.08770	3.0	1211
171.09363	1.1	1563
171.09538	1.2	5716
171.10105	12.3	3728
171.11314	2.3	1608
172.94228	1.1	1404
173.04371	2.4	1947
173.09132	1.7	1438
173.12778	4.1	1893
173.16432	2.5	2092
174.08817	1.7	3063
174.09069	4.6	4115
174.09080	4.5	1811
174.09091	4.6	2283
174.11184	7.8	2110
174.12379	3.0	37584
174.12406	3.2	73984
174.14767	3.5	1699
175.00192	2.4	1511
175.02349	1.9	8244
175.04667	3.1	1926
175.07109	1.3	1967
175.07838	7.8	3092
175.12263	5.4	1714
175.12612	3.2	5434
175.12623	2.9	3351
175.14418	1.2	2754
176.06568	1.3	2107
176.06988	7.9	3544
176.07036	10.8	8882
176.07051	4.6	5148
176.10229	1.6	4239
177.00708	1.1	2012
177.03888	1.6	1503
177.03907	16.5	5344
177.05418	8.0	7209
177.10187	3.6	2553
177.10200	3.5	18770
177.13872	1.2	2557
178.05900	1.2	1814
178.08910	4.8	1908
179.04425	1.8	3257
179.06880	21.6	3565
179.11719	8.0	3058
179.11775	3.3	39693
179.11781	3.0	3463
180.06471	7.0	4821
180.06540	6.9	247060
180.08769	5.2	8938
180.10123	3.6	1797
180.10164	2.5	3680
180.12050	3.3	4571
180.90268	1.2	3374
181.05274	1.7	9337
181.06795	6.9	24394
181.07050	6.1	68902
181.07056	2.1	1626
181.07163	6.4	5979
181.07174	1.9	2229
181.07188	2.1	4162
181.07219	5.1	60521
181.08621	11.2	6577
182.06526	2.7	1315
182.06694	3.7	4323
182.07067	6.9	1681
182.07287	6.1	7337
182.07476	5.1	6489
182.08114	2.6	11489
182.08119	2.3	7839
183.05102	3.5	4211
183.05127	3.9	18052
183.07607	2.2	2602
183.08394	2.6	1953
183.08585	1.3	6814
183.11231	3.8	5555
184.03713	3.3	10357
184.05954	6.7	6983
184.06015	4.5	5118
184.06022	3.5	10384
184.09603	8.9	2136
185.06675	2.7	3925
185.09130	3.0	1868
185.09190	3.1	2762
185.11766	10.0	3025
185.12853	5.3	98412
185.95843	1.2	2757
186.07562	2.8	1872
186.11220	9.6	5707
186.13097	5.3	12851
188.01402	2.2	2701
188.07027	5.7	16993
188.10241	1.9	13045
188.16366	2.5	2450
188.17524	1.2	3413
