start	end
349.5	375.5
374.5	400.5
399.5	425.5
424.5	450.5
449.5	475.5
474.5	500.5
499.5	525.5
524.5	550.5
549.5	575.5
574.5	600.5
599.5	625.5
624.5	650.5
649.5	675.5
674.5	700.5
699.5	725.5
724.5	750.5
749.5	775.5
774.5	800.5
799.5	825.5
824.5	850.5
849.5	875.5
874.5	900.5
899.5	925.5
924.5	950.5
949.5	975.5
974.5	1000.5
999.5	1025.5
1024.5	1050.5
1049.5	1075.5
1074.5	1100.5
1099.5	1125.5
1124.5	1150.5
1149.5	1175.5
1174.5	1200.5
1199.5	1225.5
1224.5	1250.5
