start	end
349.5	439.2
438.2	496.3
495.3	533.8
532.8	564.8
563.8	582.8
581.8	599.8
598.8	614.3
613.3	630.2
629.2	644.9
643.9	652.9
651.9	658.8
657.8	666.3
665.3	679.5
678.5	693.8
692.8	707.4
706.4	719.9
718.9	732.9
731.9	745.4
744.4	758.9
757.9	769.8
768.8	780.9
779.9	791.4
790.4	804.4
803.4	817.9
816.9	826.4
825.4	840.4
839.4	857.5
856.5	879.9
878.9	896.4
895.4	907
906	926
925	958.1
957.1	983
982	1018.5
1017.5	1102.5
1101.5	1250.5
